X,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
524547.4749,183200.2402,200,Queen's Park,Bakerloo,940GZZLUQPS,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Queen's Park station
525284.9146,180456.3574,201,Notting Hill Gate,"District, Central, Circle",940GZZLUNHG,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Notting Hill Gate station
526710.5082,180773.3476,202,Lancaster Gate,Central,940GZZLULGT,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Lancaster Gate station
527960.1312,181017.4747,203,Marble Arch,Central,940GZZLUMBA,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Marble Arch station
528490.674,181117.635,204,Bond Street,"Central, Jubilee",940GZZLUBND,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Bond Street station
516378.3501,183314.9891,205,Perivale,Central,940GZZLUPVL,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Perivale station
514763.0955,183928.051899999,206,Greenford,Central,940GZZLUGFD,tube,Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Greenford station
520828.4021,181956.9398,207,North Acton,Central,940GZZLUNAN,"bus, tube",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,North Acton station
524519.2741,175886.505999999,208,Putney Bridge,District,940GZZLUPYB,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Putney Bridge station
532710.1551,181119.8978,209,Bank,"Waterloo & City, Northern, Central",940GZZLUBNK,tube,Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Bank station
529046.6139,181236.3369,210,Oxford Circus,"Central, Bakerloo, Victoria",940GZZLUOXC,"tube, bus",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Oxford Circus station
530512.0615,181525.070900001,211,Holborn,"Central, Piccadilly",940GZZLUHBN,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Holborn station
531123.9465,181615.465500001,212,Chancery Lane,Central,940GZZLUCHL,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Chancery Lane station
535456.6419,179467.0078,213,Canada Water,Jubilee,940GZZLUCWR,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Canada Water station
534459.7378,179416.223200001,214,Bermondsey,Jubilee,940GZZLUBMY,"tube, bus",Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Bermondsey station
537677.3398,180139.731799999,215,Canary Wharf,Jubilee,940GZZLUCYF,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Canary Wharf station
539215.8219,179859.374399999,216,North Greenwich,Jubilee,940GZZLUNGW,tube,Fully Accessible,Yes,London Underground,2021/11/29 00:00:00+00,North Greenwich station
539428.3256,181377.274,217,Canning Town,Jubilee,940GZZLUCGT,tube,Fully Accessible,No,London Underground,2021/11/29 00:00:00+00,Canning Town station
