station,lon,lat,Annualised
canning town,0.007946698289701888,51.51412171801386,12088897.8215689
cannon street,-0.09041192056785469,51.511473069259,4125366.30806903
canonbury,-0.09255689975130663,51.5486015806266,2663223.27940779
canons park,-0.29469410620588665,51.60770907048488,2124258.76228819
carpenders park,-0.38549900676709753,51.62772232867829,1318173.97957056
chadwell heath,0.12827514956634728,51.568019572273315,4475821.00271836
chalfont & latimer,-0.5607234520464774,51.66803142622906,1453262.23420963
chalk farm,-0.15264214766916676,51.54385835909765,4735888.61358513
chancery lane,-0.11156930260294358,51.518248903508315,8349339.38787465
charing cross,-0.1273836832203838,51.5073779507334,15814628.9993059
chesham,-0.6109804023947352,51.70522161796169,979562.291485197
cheshunt,-0.023824094376964037,51.702665354537864,1182411.46453165
chigwell,0.07559497498919758,51.61765286220907,294458.469033759
chingford,0.01005944435336341,51.63316313012284,2653117.50374032
chiswick park,-0.26857152550054486,51.494667485901765,2099072.71690466
chorleywood,-0.5185530310182181,51.65429398451199,1337348.42988761
clapham common,-0.13719253566731915,51.46221051259463,7779947.83604485
clapham high street,-0.13232718853397754,51.46548905706969,1373864.46759486
clapham junction,-0.1717557749746353,51.46490829058356,13210280.9659087
clapham north,-0.12935895070321768,51.465729600608796,4960027.98129638
clapham south,-0.14721241263243373,51.45323695245536,6330060.71826758
clapton,-0.05674485708102791,51.56176522471014,2329168.64367029
cockfosters,-0.1491631467827762,51.65152862765704,1406659.13511747
colindale,-0.24993805686952955,51.59544539419721,0.0
colliers wood,-0.17805799608697154,51.418159716964155,5303214.29141976
covent garden,-0.12436702786860558,51.51314450844451,12949699.424932
crossharbour,-0.01448274918950765,51.49590351988882,3066201.34667195
crouch hill,-0.11630815833718167,51.57173633314926,1127595.36224966
croxley,-0.44176805492340027,51.64707717858011,860334.65822644
crystal palace,-0.0722396189196942,51.41799309746847,2015763.16787149
custom house,0.026525239812880297,51.509735604132864,13090453.27009343
cutty sark,-0.01108258441179282,51.48167303702902,5919734.74593989
cyprus,0.06393910837272368,51.508498129945465,2000913.49371535
dagenham east,0.16597604681459355,51.54416043622838,2589644.92199001
dagenham heathway,0.14751917346847768,51.541617327806044,4713539.78476169
dalston junction,-0.07506569107371476,51.54600495871591,5196637.54061266
dalston kingsland,-0.07582955570472252,51.54815827435679,5490399.81146724
debden,0.08376689656236329,51.645391879390395,1893570.46219128
denmark hill,-0.08951494059588583,51.468035210780144,5707546.99426062
deptford bridge,-0.02246289169111558,51.4743026334533,2773887.82169355
devons road,-0.017479328930153804,51.522464785446545,2336265.15439271
dollis hill,-0.23904076572437855,51.551961940990864,3041917.91474858
ealing broadway,-0.30100554864828494,51.51500454109758,16364102.453424
ealing common,-0.28814377331699453,51.50954325566993,1848185.77203229
earls court,-0.19317540262977845,51.49198454803539,15890137.37142
east acton,-0.24716252199343647,51.51659745054098,3531471.3083787
east finchley,-0.1650441219039346,51.587154020260144,5275438.29453223
east ham,0.052826568311648996,51.53940709913807,10649652.9436038
east india,-0.002295365931186527,51.50938339749123,4072870.571035
east putney,-0.2110636822805433,51.4591495870924,5855981.0449621
eastcote,-0.3973680168635398,51.57651196983276,2118740.39718409
edgware,-0.27477777123740055,51.61360827412279,3858986.40388994
edgware road (bakerloo),-0.1702481178612425,51.52046920147198,
edgware road (circle line),-0.1677731663889066,51.51987245129845,
edmondton green,-0.06130466943385039,51.62478718833343,
elephant & castle,-0.1011862761028003,51.49583746787788,13539687.0673462
elm park,0.1986662037147447,51.54971988694186,2530015.60963946
elverson road,-0.016384302059126953,51.46869615376943,1322682.73298107
embankment,-0.12216953430795731,51.507451856556735,17216695.7358546
emerson park,0.22023996626757303,51.568604950183186,323110.463281102
enfield town,-0.07881737407445943,51.6517817578825,2418583.48591432
epping,0.11399961918418978,51.69356092525262,3257825.47503359
euston,-0.134598609151173,51.52808458451346,35573684.14716614
euston square,-0.13587687351584915,51.52563315475243,11746337.7644444
fairlop,0.09105309597165905,51.59555810733474,920556.917957687
farringdon,-0.10519198867818358,51.52047027577585,39529654.1897603
finchley central,-0.19255484880487259,51.60093175153773,4964884.17744196
finchley road,-0.18109153879636955,51.54723083836693,7282849.67539423
finchley road & frognal,-0.1832362104703823,51.55022629019142,2238575.39813737
finsbury park,-0.10667934765407903,51.56457021452155,20331545.1147496
forest gate,0.023638956467786503,51.54923236813622,5629940.86482299
forest hill,-0.05308435624960779,51.43929513809125,4071322.43439278
fulham broadway,-0.19476643999333534,51.48076777565933,6599513.62238481
gallions reach,0.07175759149661497,51.50898064647591,1904288.03279333
gants hill,0.0661941322556114,51.5765350092032,4676608.64921366
gidea park,0.20622610724443252,51.58205913427199,2859597.29992807
gloucester road,-0.18373468987431107,51.49448863919926,11521445.5305478
golders green,-0.19402225224523736,51.57228620318889,5980897.33468629
